Date,Trade_#,Company,,,,,
2/27/2021,8280,CAT Caterpillar,,,,,
2/25/2021,3564,CVX Chevron,,,,,
2/25/2021,7709,BA Boeing,,,,,
2/11/2021,5494,BA Boeing,,,,,
2/7/2021,6555,HD Home Depot,,,,,
2/13/2021,8821,CSCO Cisco,,,,,
2/14/2021,4771,DIS Disney,,,,,
2/17/2021,9021,HD Home Depot,,,,,
2/28/2021,1342,BA Boeing,,,,,
2/6/2021,5092,AAPL Apple,,,,,
2/20/2021,9602,AAPL Apple,,,,,
2/16/2021,3952,GS Goldman Sachs,,,,,
2/20/2021,3432,MMM 3M,,,,,
2/10/2021,2953,KO Coca-Cola,,,,,
2/27/2021,9270,AXP American Express,,,,,
